,0
64d7a851d9fa37af674372e42cb910f95a43e1aaf263d49df8837a0c93766f7a,1.68432e+10
439FB6D456FBBA89A176644798E3DC36519D058609A8BD9548BE9FD2A5CD860D,2.00647e+14
924ED6D64A2CAB01FD35E4695ADA5D86B7683E6E695FD055ABAE97408E9C4385,401295
9291E3D5550F45CC9060A7042BE938ABA5A4EA848E4D0AFA0D7884CC3B380C2C,802590
ADA342EAC318D17F0C3597DB8F53CEF88A0CADD3EBD63D05328486CF2159797A,4.01295e+13
BF611965768F1B4E9CC32F5F9B0D78FE045014C6152073734C6773C14CBDE79D,1.16376e+15
DA4530CD1F3DFDE1C8A43817D051C1AF276611D79E284D76226F7F8045A217EB,4.01295e+08
DB310ED0FCF8A7146425ECBF9AAEBEEE3CCE2FABBEB49503BE8A6E9F7A4C6F81,2.46787e+06
DF1D9B5B19F0AC2F2E49497529B61B394316114EC8BE1F2401BD13EBC0BEC2F9,2.00647e+06
request_uu3651b698-08d1-41ba-a14a-403878203f93,0
03B70626D7854C8216E650DF887EB14AC1054BC3AAE18DB2E5EAEB1BB64B539A,4.40575e+10
0512902F15D7DDCCCC37B73E1F8C8863725AEF84CF5242735177137EEF5FBCBD,4.66775e+10
062CABA69FE41911E7591D51D93D00639514D0FC5A90BB0EB992B7CF9FC413B0,3.96416e+10
070F0523C32F50B1B34E3B9D200E5D75092B742037557B5412317875E563A980,3.75477e+10
08C129F75CB151A4E4AB65707A37B0103D998078DEF88F99E41403257CD5200A,4.65156e+10
128CC3F47AB4B4DA072E0CB6C22BF8F35EC8C0DBA8CC80993928C22139181B3A,4.0806e+10
12F4B47DAB4B1D6542CC04980C9CF2392294F0C6AEBEA11AF416243DC4D46BA7,3.58168e+10
17CF539097F128C5C8D7E84460E17CCA81E107E8CC1560034210B31FDE3E6C22,4.74188e+10
17EAC4B0EB101ED8AAEF03CB24B5C93154F51AC2242874B598A70666F213C241,4.91718e+10
18B39B82A604698B1A2836D2CEC1F985662605294F3CBBC3BB287406004A16B6,5.01369e+10
1BF68EA55DB18665FBE074B06A542B220113A279E672B7488481DD1A291070A7,4.26204e+10
1C547431239AD77F936BE8F600F664AA81FD8F3C144CA7A3BA5B8DA99C815E02,3.89662e+10
1DA3B279B06592F74ED925FA5AD694225BF529E0A5DD3EDBA67EC564D5015C8A,4.49893e+10
1EF0816BF7C136396D308D91130A1828D53F215CA3C0F612B953B9FFDD9F1413,3.52243e+10
1FB776A5F8E5B288022E604052C8EAEA64D4586E6EB7D3D11D72B092F4D598C9,3.68395e+10
20D278603C8CAB5E4C854C53F8365B7BC43C55D631B17563D79892AF36AC3711,5.21335e+10
219A95F332B85D5188326398CD61FB2667023F05D29FA891FF60ED79332350D5,3.54023e+10
22C5B19278F83000C320E6262AE6CF79080B75D57C57D20592919D5B70234722,5.15013e+10
23C25CA4C5348BDE94B400605FC641787564168BC7BD6FE38C9CFE1798345474,5.14799e+10
2A7625516C16DE0EAEBE6BAA80FAD89937AE26E35DA7235E9614F4BEA149148C,4.919e+10
30B094DAC495EC29535783EFA9446FE62115422A99C02993F9A122448D8C2AC2,4.42661e+10
327EFD6B51B63DC85F87B1E4926A0648C702565A9D8E7CAA3E1304EA520861D8,3.78465e+10
328D83DB79B6AF17D50ED82B9F6422EC0AD20D551A71E9DC3AC44E6425411FDA,5.24748e+10
398E7274CB2EC7C039E36CD6C836A4C875F50037BF275DC62CDEDDFDCE90104E,4.81809e+10
3AA7E72FD7E18DCAB331FB50C24FA9D8BD58A6131B9EAB9336A8365FC8C20D59,4.41117e+10
4049D0F821869137C242594D294877090D14006AE05DFA2EB560E58F61A549EB,4.72388e+10
40C53A7F8597C09C003A9E1378C03094F7458141FC1F5A367B37ED295738BDB7,4.37002e+10
46010796219DC1C33F924F09BF702B40CAD3B7CC296ED6EABC4E81BC1E6CAAB5,5.14333e+10
48A4B55D41530C0462037407C84E01DDF1025B16C72C4D25500FB9D10905A248,3.77088e+10
4C295CAC0A990CC5748509533C47059DA1A25D787994FA1E1A41C19D2040F403,5.24631e+10
4C9512915CDC04B8BF69EEEDD7027F7D1318AB86437032D615ED4F9A687F0E20,3.52379e+10
5049EB7485302D35208A3176D38E24FE66D5CCC2EB89E24C598799148DC9FB3C,4.79752e+10
533D0324AFE436EED09039E008CF2F9C4904320653B54F105BBCB6EA349E5A91,4.45348e+10
571C268B9945BCE5FDC0FA3C4F8A492ADA7755170E21A68C6C48F4A7D7DBEAF6,4.68751e+10
583EFF0B87EE8978F1729527EFCEB90E3E3A49D7E063576684E360BB206BFE90,4.38423e+10
5CD1F8B436BBDC3AD78380A5F1C15E2EC1922E83B1BC09CB39E7BC2ADAB5CE9F,5.25678e+10
5F2CA39DCD2294FCE9512667B329ECA83FFEF5ECABA4D6388084DAB83F5B482F,5.14853e+10
6250AA5D4AF57698A8C4C6C58529B08DE4C9093D721E33EB377EF99BEDE2F073,3.66443e+10
62C0369D785701B26A140D9D1375ACBD89805149856B74540E318AA9AF06A93D,3.58676e+10
65E28E9DAED3F9C53A8146737FE61867417460BC07C14C6FAEEFB7549E54A8F7,4.43285e+10
67F9AD394DA0F9DB8F05F37C7B563C59DD7A3453415186A76D64B1974FFF17A0,4.21636e+10
688BC212231066DB02921B1EF198C3497563D23969AFB0787F0A10BCB9F75E9D,4.70058e+10
68DC011397C272C08AEA32509D544F8340E219F90095DD5A254019488CD53A08,5.47221e+10
6AD6844A6E91B96A299480883DD2647531622751595C534BC1324D9D3DE29DEE,3.93064e+10
6DAA45B7AB9F7523E93A206CFC2D7D5DD2D02ED46F6110221800812C03D85C35,3.70156e+10
76424E20A5F4B0CBC41829146CB0288AF67CF1BDDEC4185970E11530EDDA0FA5,4.10686e+10
77235B8F964D34326E71704BC0F1F05993249500F1BD18E4F298862B466D0D3A,3.82604e+10
8811E10B1EC9031B7DAAB85E110E6C9918D1840108451F2854F1481BF984CAA1,4.07078e+10
8DF56775D4A064FB5F199414AB90C4ED02F659BAF89D25B7FCE9090494E3EB6E,4.4411e+10
907A45C7B06B367E8679ABFE894D48A4A8E80A6F9A08F090FA28B83E88232342,3.75499e+10
909035069A8310E4AA92114991AE3C289F035AA27BE1A7177D812BB0316C8BC1,3.98565e+10
92669649C726DB04F5BB56285F7D305AB61550AA9B94BCC53E6CED5C0BF2141E,3.57821e+10
9303F3D6E226986BD6D7200947D7536F32B65E7509F53C623085F855FB258F1F,4.43868e+10
9441B9657B99085A30E6AB5DDB9ADDFA3EE1F9D5F155813A8C3B297A1D03FEAA,3.53463e+10
947804154040FB30BF33004E73519E1D0FE073143EBCC7EB7CE0473043478198,3.79175e+10
9673E32B9915C8B8F78F02E3ED73A22DA14069B18B6BC511AFCA4FD940CB9223,5.16102e+10
971EA3759D0307E978E0DF3770ED9B9009A5052AC95039A51C4EEC11F1C857E9,4.18974e+10
9AC8787BD28D76796E6DF22D2FCE0B49978735717B6BFE169202A77F114EB840,3.59756e+10
9BEFE0D1BB6F299ADA2E15594A02CCA8B58928FBC0D6FE8F62055ECA21ED2B13,5.06847e+10
9FED68DB155E246A957C66A72B332726E5A0E4C47B038902A80BFF36695E0F54,4.24606e+10
A0FE466668B459951B2B392E3BA8593BAF8840DD99A59EF31A301075A37E0F4C,4.00266e+10
A2DDF772BDF1FBC3588C85CEFC26EE714E07F2244BB874E09459F875C61D0099,4.34724e+10
A4C284B1FC180F7F93340E400AA223162A224DCC2414EC22EECBC6BF078A6C0E,5.26381e+10
A4E20DB13E1E8F44EF444656E5C6306CB0C0A0DE1ADD06A4A5BEA9876D0236D5,5.23716e+10
A902A509830ECA15ECE88AB1403243329FBE92EEDB8B40244195E49570909A38,3.53539e+10
A9E5478B3C2BBF53088EF9B16DC7F516262625AE42B9D9DBB921328EB6555560,4.72688e+10
ABE5ACD6171E685ADE7EF3ADF67F9E1EC6DA4A6B708007E8F550BA1494A881DF,4.12147e+10
ACBF6B24883B6E159295558B3184BF7D5E9DFEA95870083C4CD5F66B2DD45BE7,4.90243e+10
AEEAC9DE973904940D6FE435C3708683132F97DE7C3CC031F403F53376DC46B0,3.73084e+10
AF2F75BFA7CD9F66746662A4C8312FD1FCBF4B965D6F793980D40355F361B430,3.54493e+10
AF41B35AC65E5C4961DC48A8DEE5ECA7651DF87F1645081D6EA8CB9A6DD9E358,4.13763e+10
B0700F82F608934E6F208270EDAB65B8ECA96AF3F4EB3B196B40F2E8C963909B,3.56165e+10
B0FEE358C9C99F77A17EE4F170BEDAB78CA8681B318B39988BD660C8C7377EFD,5.22189e+10
B23B4C10EF0E3149F876CFB9E468FEC5ACBBD4811AF39EC53497C45741874EBA,4.10347e+10
B5C7D90AC4E07203214D9C9E352AAF4F7B8C1301DBF72D63557562126C481B2A,3.97193e+10
B8C2C2A7932C820F2A8128D51ED0FA8C016B82E1F8BC5DC67BF0B766B3A42D00,3.60413e+10
B94847F6382CCE484816DCE2C099147D4C4EDF1D535853D56E15AC6E4019AE72,4.864e+10
BF2F01B7FD7A4B1C3BE0CF7926CD270EF225B459A95791991E87386A6D73992B,3.5279e+10
C03DBB73ADFC5FD7E08DE5756570AEFC8A8C7189972BF8E5213A4CF32BF0773D,3.57731e+10
C0766863E242A3CD8B00CFAD22D7AE7810B51763E2CAB9064B7A0529C79E6761,4.53378e+10
C4C88C0685B23CCF31F9FFE6D9DF38F5DD370E6269F3799C7829C27F5842FC2A,4.44432e+10
C6808FF3E7E8B2C7115EBCE0E20B22EEF3263EA53F2601D5E8928F3ADED28736,5.07102e+10
C8555ADA5B083E10815A4604B0031DA3A50A51ED3BDC9C343B5EE1C22C755ED2,3.87868e+10
C9841CA9FEF06F47A1EDE12F15E8DFA650983826D16DD8D921EE46470517BF6B,5.09173e+10
CA18A2434D800AF71E324003FBED50FDAECE8A922CACD04D6DA2A50BDFDD1A3C,4.94404e+10
D574EA09FFC1A3D848BF9D3A7AEB057D582352798F70B4501D65A209CF89A623,3.61314e+10
D5DA5EEBC6C13F28FABE32D4B7769B5F2D04C7C52E1BE07FD950AF4F00880631,4.36884e+10
D672093E7D78EA65514F39AA440293CC5463C2147945F9A7F8C7588F7997965B,4.82039e+10
D85A544B178B69CCD04BB8F11CD23126B74373AA175F7A3394C7DF2421E6E81C,3.50647e+10
DDAEC646C5AF919EE87E92DA844519D7FC68DCB3B539E0D68AECA38174F9A5E2,4.89649e+10
DEDCE7AB36FCBEF79D1062F2E76A308A6F8CB6983DE908D12F3A5C043B3518DE,4.34867e+10
DEF2515EB80AD214920356B8CF70EB3FF14825C5D95709006192197C4189127A,4.45172e+10
E1089FE9FE9B8271E45A9CBFA445729BCDE0057CD1A247BB9540A0E3341EEB08,3.68035e+10
E4E14E6F7A72FA006D6675A7A22E6ECC152A2EBB655DFDCA37C433A56103F5DA,5.28163e+10
E567BCFFB43FFEBA5C0D976854D9BEA376392AEC46A8819EF5B2DBB0256CCA4C,3.73506e+10
EB91373D5C9894A76FCB1F72715AB223351DBACF92704DA6EB010642F3873D19,4.90574e+10
ED35D1BBB06F14DAE2297258D57B4C576D8CF36A77AE2F946F8F5010DCE6237E,3.61368e+10
ED3CD7F91E2AB7F37095EA1CE28C52B4225AF24DE042F10DC3B604C0B1995380,4.86323e+10
F8E23D6FEFF3C09657A592F82ADC6EFBEF6D56FE9A61E89C814C6E37F6CD568F,5.27547e+10
FE72A7ED776BBA23FFF0E124FEB62FE8083DDDC12ADF0C26B4B402D943056827,5.00356e+10
request_uuf208d94c-0665-4796-a833-15d6410b83d1,0
